MalePatients,FemalePatients,ColonCancerPatients,ThroatCancerPatients,SkinCancerPatients,CancerConditions
416,123,,32,23,Stable
256,404,11,6,42,Stable
439,264,24,33,32,Stable
157,377,37,6,20,Progressing
300,72,43,6,2,Remission
494,117,14,40,3,Progressing
453,447,43,35,31,Progressing
419,496,40,6,23,Remission
383,422,33,19,34,Stable
179,,44,17,17,Progressing
342,142,12,44,,Remission
69,,7,,38,Remission
331,373,12,,25,Stable
334,433,35,13,23,Remission
50,112,5,39,0,Remission
168,273,,13,49,Remission
84,274,31,20,,Stable
247,,20,48,11,Stable
294,395,43,,16,Remission
108,386,43,45,20,Remission
374,152,48,25,20,Stable
,264,6,26,2,Stable
228,241,25,23,43,Stable
255,209,14,4,27,Progressing
,,48,41,24,Stable
325,256,41,37,43,Remission
230,318,22,27,5,Stable
,243,,41,41,Remission
265,429,40,,29,Remission
300,452,14,31,31,Remission
348,201,47,23,21,Stable
,286,39,5,37,Stable
266,,15,9,13,Stable
355,,,45,33,Stable
334,,36,,42,Stable
234,263,17,6,46,Progressing
88,64,19,,25,Stable
272,315,,33,39,Progressing
233,346,1,6,12,Remission
476,460,22,16,,Remission
227,493,29,12,18,Remission
456,122,2,20,41,Remission
477,101,45,30,40,Progressing
343,,38,8,49,Progressing
389,77,46,44,38,Remission
,114,48,46,2,Stable
433,66,0,12,30,Remission
175,400,40,16,,Remission
350,477,21,7,14,Progressing
357,187,28,8,44,Remission
385,368,13,,,Progressing
483,,47,39,39,Progressing
283,303,,47,13,Remission
429,259,,29,34,Stable
424,480,44,6,,Progressing
57,343,31,16,49,Progressing
390,280,5,38,23,Progressing
178,290,,37,16,Remission
313,119,20,,17,Remission
206,153,3,16,41,Progressing
401,253,2,,16,Stable
407,102,48,0,15,Remission
54,,29,,20,Stable
135,424,30,16,23,Stable
,379,33,29,33,Remission
339,,,30,35,Progressing
242,325,19,34,42,Stable
360,384,22,,26,Progressing
168,,39,7,,Stable
,184,24,47,16,Progressing
476,107,14,29,24,Remission
463,154,,38,37,Stable
,,22,20,41,Stable
194,59,1,14,20,Stable
75,302,14,33,3,Progressing
185,344,43,26,24,Stable
352,205,34,1,29,Stable
281,207,9,9,32,Progressing
,86,13,4,38,Progressing
125,168,26,26,25,Remission
377,116,13,3,24,Progressing
394,291,34,46,15,Stable
351,348,,12,48,Stable
338,262,0,16,23,Remission
50,357,33,20,4,Remission
196,150,18,22,41,Stable
336,105,23,32,,Progressing
191,381,41,49,12,Stable
102,373,3,14,29,Remission
353,288,35,13,6,Stable
118,442,12,8,46,Stable
410,280,31,43,16,Stable
,411,8,,26,Remission
495,430,38,29,34,Remission
269,141,15,28,4,Remission
499,328,49,22,41,Progressing
241,496,2,33,4,Remission
,158,19,6,23,Progressing
122,366,9,8,6,Progressing
210,217,21,49,6,Remission
218,349,47,3,13,Progressing
138,,2,1,14,Progressing
225,484,10,26,,Stable
318,491,24,32,36,Progressing
122,267,41,31,3,Progressing
294,271,47,43,29,Remission
126,210,7,44,,Stable
208,65,8,45,25,Progressing
373,327,14,36,8,Progressing
147,106,31,26,29,Progressing
430,111,2,27,43,Remission
151,,3,2,47,Remission
181,,,35,21,Stable
151,291,12,48,,Progressing
68,139,43,42,40,Stable
131,,20,7,43,Remission
446,375,40,43,29,Progressing
328,79,45,49,19,Progressing
388,408,18,49,27,Stable
,,,40,6,Progressing
380,337,,36,3,Remission
178,135,,48,27,Stable
393,283,19,44,34,Stable
359,284,36,37,32,Progressing
138,362,30,21,6,Remission
262,414,9,13,8,Progressing
192,314,17,14,33,Stable
114,336,,45,38,Stable
,376,38,3,41,Remission
248,442,45,17,33,Stable
192,,19,0,12,Remission
454,235,17,,28,Progressing
452,180,10,40,34,Remission
,340,21,41,44,Progressing
142,326,43,49,9,Progressing
466,369,17,16,29,Stable
,400,33,18,43,Progressing
273,229,22,,,Stable
,339,0,47,34,Remission
477,426,9,6,27,Remission
151,,0,8,28,Progressing
,,37,7,5,Remission
404,425,38,24,2,Progressing
159,,48,6,28,Remission
379,311,8,41,,Progressing
,414,30,7,21,Progressing
479,402,6,,45,Remission
314,337,16,16,46,Remission
52,485,34,11,,Remission
134,132,,45,26,Remission
,274,36,30,21,Progressing
377,461,17,11,9,Progressing
353,272,32,1,48,Remission
499,167,3,11,48,Remission
,241,22,26,,Stable
166,128,10,45,23,Progressing
270,127,,6,26,Progressing
203,196,29,12,35,Remission
202,,7,35,,Stable
61,431,39,0,16,Remission
,320,4,,9,Progressing
353,439,11,34,16,Progressing
342,,0,29,43,Stable
,122,14,30,9,Remission
277,406,24,16,9,Stable
320,,17,7,37,Remission
92,471,37,2,,Stable
481,75,41,9,25,Remission
392,259,45,33,25,Remission
375,141,25,21,,Remission
,174,39,3,3,Progressing
413,484,2,31,49,Remission
428,122,21,28,26,Progressing
476,172,25,,20,Stable
70,358,18,,35,Remission
456,233,43,45,37,Progressing
156,236,43,12,45,Stable
385,247,46,3,30,Remission
352,,38,1,6,Stable
166,397,35,33,43,Progressing
173,235,20,42,33,Progressing
448,393,40,21,17,Remission
330,302,47,4,23,Progressing
341,62,25,8,12,Progressing
252,348,12,19,12,Stable
100,125,35,20,24,Remission
,100,23,16,4,Remission
373,324,40,11,38,Remission
326,198,25,27,28,Stable
190,268,20,17,43,Progressing
324,171,17,2,45,Remission
339,260,14,4,32,Remission
383,329,14,13,23,Stable
430,75,,,9,Stable
422,222,42,25,24,Remission
101,205,30,18,40,Remission
76,287,27,40,9,Stable
206,425,7,16,38,Stable
288,131,,38,15,Stable
205,,20,41,27,Stable
340,462,16,3,11,Progressing
185,322,48,41,43,Progressing
193,117,23,34,31,Remission
155,93,49,23,28,Progressing
469,110,35,40,,Stable
207,,30,12,49,Remission
195,398,46,32,26,Stable
51,245,33,14,25,Progressing
482,379,1,14,2,Stable
126,458,41,30,25,Remission
181,372,2,42,38,Progressing
,160,29,,0,Remission
394,307,7,9,,Progressing
399,138,6,6,26,Stable
312,482,11,32,45,Remission
400,247,,6,3,Progressing
157,,25,4,18,Progressing
123,249,27,25,21,Progressing
88,148,14,15,5,Progressing
446,76,13,7,8,Stable
208,138,47,21,,Stable
120,195,13,33,21,Progressing
496,231,2,,46,Stable
,306,49,27,8,Stable
290,238,28,45,28,Progressing
475,289,5,35,42,Stable
494,408,48,46,9,Remission
,436,22,6,,Remission
489,245,27,39,30,Stable
85,346,13,42,21,Progressing
133,214,13,27,45,Remission
423,356,19,1,3,Stable
312,320,12,,1,Stable
359,57,26,5,4,Progressing
434,87,34,0,45,Progressing
221,163,44,2,,Stable
425,,1,,18,Progressing
222,,40,36,37,Remission
411,,44,43,14,Remission
96,,39,22,45,Stable
428,187,47,32,7,Stable
,151,23,,19,Progressing
424,383,28,12,11,Remission
,226,2,27,3,Progressing
,218,44,6,,Stable
326,388,3,25,42,Stable
263,335,,15,38,Stable
,310,1,39,35,Stable
442,424,19,25,14,Stable
75,272,14,,0,Stable
58,,48,31,30,Progressing
320,260,31,,8,Progressing
59,336,41,41,22,Progressing
427,229,0,,25,Remission
170,299,37,48,39,Progressing
174,280,34,20,43,Stable
219,72,6,,38,Progressing
121,,,25,17,Progressing
201,,12,44,32,Remission
257,,48,8,40,Stable
98,55,0,36,38,Remission
203,87,,22,13,Remission
396,218,28,0,0,Remission
342,405,2,1,12,Progressing
117,332,45,42,14,Stable
99,252,23,27,36,Stable
,374,0,35,,Remission
68,362,47,30,,Stable
149,322,9,40,13,Stable
109,293,,,45,Remission
,376,,36,4,Progressing
251,96,8,24,10,Remission
,298,13,7,31,Remission
195,128,35,,4,Progressing
452,159,,38,35,Progressing
213,62,39,48,14,Progressing
488,,22,31,6,Progressing
,429,34,10,4,Remission
118,414,6,46,29,Progressing
224,139,,24,,Stable
98,391,34,2,29,Remission
157,397,1,44,13,Remission
275,329,14,49,23,Progressing
210,270,8,31,23,Progressing
168,122,46,34,34,Stable
,283,16,31,4,Progressing
199,309,38,33,11,Remission
481,162,,36,19,Progressing
,95,14,4,45,Stable
192,323,17,44,4,Remission
468,92,23,27,35,Remission
209,257,22,27,20,Progressing
,466,11,7,47,Stable
,,22,26,38,Stable
127,152,20,15,2,Progressing
126,173,,17,28,Remission
490,59,7,24,24,Remission
,378,29,47,26,Remission
458,236,33,0,35,Progressing
307,80,1,,21,Remission
369,205,4,20,37,Remission
340,109,30,33,34,Progressing
,298,32,23,0,Remission
134,436,3,36,2,Progressing
195,423,5,25,23,Stable
,488,22,,,Stable
,319,44,13,47,Progressing
423,491,18,28,38,Progressing
174,266,42,29,17,Progressing
216,448,44,2,40,Remission
474,,7,6,2,Remission
290,73,38,35,17,Progressing
329,,12,10,15,Progressing
237,369,0,31,31,Remission
351,248,5,11,0,Remission
68,405,,14,25,Progressing
117,,47,37,47,Remission
267,329,26,23,11,Remission
151,204,14,0,37,Stable
91,214,33,17,,Progressing
337,271,22,45,40,Progressing
216,,47,6,12,Remission
158,216,48,41,11,Stable
85,496,23,,12,Progressing
281,256,14,1,17,Progressing
278,331,34,39,18,Remission
402,114,3,30,18,Progressing
213,425,43,32,5,Remission
436,53,36,29,47,Stable
122,206,16,30,6,Stable
185,298,30,33,6,Progressing
402,306,37,,27,Remission
428,284,9,24,27,Stable
119,355,,15,18,Progressing
474,,26,21,15,Progressing
245,444,41,35,16,Progressing
318,123,5,26,,Remission
98,236,5,16,18,Remission
365,111,14,3,47,Stable
179,386,3,34,28,Remission
493,213,47,40,,Remission
54,105,39,21,,Progressing
477,160,6,46,46,Progressing
76,,48,34,34,Stable
,289,44,43,46,Progressing
198,70,46,14,24,Progressing
313,,25,,47,Progressing
279,314,30,,19,Remission
,188,1,20,36,Progressing
,119,27,12,18,Stable
116,434,41,46,41,Stable
349,167,12,10,12,Progressing
430,247,17,48,46,Progressing
107,254,29,26,11,Stable
308,263,10,30,48,Remission
391,105,12,43,14,Progressing
375,336,23,31,3,Stable
179,342,28,29,14,Remission
264,224,4,17,16,Stable
221,396,34,15,,Remission
307,419,18,34,10,Stable
151,177,12,8,22,Stable
258,480,4,38,14,Remission
340,427,43,36,30,Progressing
403,374,13,9,25,Stable
335,491,37,11,6,Progressing
165,341,21,,12,Stable
313,337,8,2,12,Remission
199,275,,18,19,Progressing
349,113,39,10,33,Remission
491,475,25,7,9,Remission
85,97,44,25,49,Progressing
382,251,4,44,36,Progressing
336,386,28,22,26,Progressing
352,463,21,9,33,Remission
360,,48,17,35,Remission
257,109,2,,,Remission
155,446,,,20,Progressing
495,306,37,25,15,Stable
207,,13,10,16,Progressing
170,288,46,9,14,Stable
104,338,13,2,12,Remission
449,87,42,6,32,Stable
61,74,10,3,4,Progressing
194,459,8,39,26,Progressing
449,108,,7,0,Progressing
445,466,46,37,43,Stable
185,406,43,12,29,Progressing
52,432,5,11,,Stable
193,346,0,34,14,Remission
79,,24,37,,Stable
286,,15,42,18,Remission
328,482,14,35,29,Stable
397,97,33,46,,Remission
164,377,16,1,17,Progressing
153,482,2,14,25,Stable
,480,2,48,16,Remission
54,105,36,33,10,Progressing
409,114,16,38,44,Progressing
297,317,48,25,28,Remission
413,,37,47,8,Remission
370,265,0,4,,Stable
170,439,6,47,16,Remission
335,,25,24,26,Remission
198,498,46,33,36,Progressing
133,330,38,46,21,Remission
455,306,18,3,7,Remission
280,,29,33,2,Remission
,283,42,26,37,Progressing
210,180,13,,34,Progressing
321,98,12,28,31,Progressing
87,196,19,,7,Progressing
275,365,25,17,43,Stable
191,462,26,3,26,Progressing
,483,24,0,31,Progressing
200,51,8,,35,Stable
,378,40,19,,Stable
286,,47,5,24,Stable
115,194,11,19,30,Remission
,493,9,19,41,Progressing
390,415,5,45,46,Remission
307,469,49,26,12,Stable
298,110,33,25,14,Stable
498,322,40,31,49,Stable
380,98,18,9,12,Stable
372,381,5,17,32,Remission
229,493,1,40,30,Stable
239,,14,11,24,Progressing
456,483,16,9,47,Progressing
203,180,15,23,39,Progressing
,92,,23,22,Remission
360,106,20,37,37,Stable
311,99,7,45,2,Remission
468,227,9,24,15,Progressing
,342,9,7,,Stable
476,95,49,13,22,Remission
192,,9,42,33,Stable
391,320,,,29,Stable
365,466,27,23,46,Remission
150,385,23,15,9,Progressing
293,188,18,19,0,Remission
61,296,32,37,,Remission
288,197,3,46,46,Progressing
98,279,2,14,32,Remission
91,329,41,13,24,Stable
215,174,11,11,21,Progressing
131,241,17,33,15,Remission
478,423,22,7,,Stable
340,129,19,18,17,Progressing
207,143,5,45,23,Remission
265,275,33,4,4,Progressing
207,114,,,36,Stable
183,137,1,40,22,Stable
116,137,29,12,41,Progressing
385,250,,31,26,Stable
56,263,26,30,11,Stable
485,253,41,40,9,Progressing
63,450,33,45,33,Progressing
122,,39,36,32,Remission
448,,23,1,15,Remission
454,,,6,28,Progressing
212,320,16,47,17,Stable
115,143,28,10,26,Stable
,356,35,10,6,Progressing
179,76,49,22,35,Progressing
468,263,11,30,26,Progressing
255,123,30,43,9,Stable
325,110,48,44,9,Remission
305,235,8,7,10,Remission
315,80,18,31,29,Stable
74,268,45,47,2,Remission
,61,45,20,28,Progressing
330,351,16,30,13,Progressing
302,464,1,0,12,Stable
359,81,39,12,18,Stable
338,209,,10,24,Progressing
213,286,38,28,,Progressing
144,276,47,3,14,Stable
319,230,15,35,,Stable
370,366,16,14,39,Progressing
159,95,26,2,48,Progressing
385,390,6,28,37,Remission
359,129,7,20,6,Remission
287,184,7,1,13,Progressing
430,309,22,5,29,Stable
485,357,31,30,39,Remission
436,296,42,23,11,Remission
474,,46,,27,Progressing
439,252,17,16,49,Stable
74,161,37,4,13,Stable
190,341,11,1,0,Progressing
166,487,14,11,,Stable
,359,27,4,48,Progressing
454,168,37,41,17,Stable
74,432,49,40,35,Progressing
128,66,30,19,31,Stable
117,,,7,,Progressing
222,,,0,27,Progressing
493,276,45,5,37,Stable
61,410,18,10,31,Progressing
337,455,7,2,7,Remission
177,166,33,30,,Stable
145,92,3,27,46,Progressing
141,417,30,46,19,Stable
,164,37,42,32,Stable
80,332,2,4,29,Progressing
383,86,34,25,36,Remission
69,351,18,15,15,Stable
195,162,42,30,24,Remission
365,84,28,27,37,Remission
496,181,9,6,41,Progressing
439,385,11,37,9,Progressing
,385,45,,4,Stable
398,459,29,38,7,Progressing
92,426,29,34,32,Stable
303,277,17,42,36,Stable
179,196,23,26,0,Remission
109,171,31,11,30,Progressing
200,130,8,24,6,Progressing
336,222,46,42,46,Stable
54,203,23,28,22,Remission
467,199,25,30,23,Progressing
315,424,2,33,13,Remission
394,107,22,32,22,Remission
179,112,10,26,8,Stable
431,205,9,1,,Progressing
316,498,49,13,7,Progressing
227,477,,12,2,Progressing
302,405,12,23,31,Remission
464,476,28,4,3,Progressing
105,470,37,33,48,Stable
132,371,12,22,37,Remission
442,450,25,18,1,Progressing
148,217,19,29,8,Remission
198,215,4,48,45,Remission
378,134,19,42,0,Remission
205,494,13,15,48,Stable
239,186,44,,,Progressing
420,238,13,39,28,Progressing
,449,7,33,25,Remission
129,428,47,48,26,Progressing
449,51,12,10,37,Remission
301,155,,13,28,Remission
,413,14,,,Remission
309,121,0,46,27,Stable
309,476,21,14,30,Progressing
152,175,33,34,18,Remission
89,219,49,6,47,Progressing
322,254,39,28,,Stable
,362,2,43,49,Stable
408,386,,21,28,Remission
429,,13,22,10,Stable
357,207,40,23,,Stable
270,,7,34,31,Stable
357,324,48,9,20,Stable
469,56,15,7,37,Stable
173,442,41,47,33,Stable
,103,20,47,39,Progressing
280,153,9,11,21,Stable
227,391,24,28,47,Progressing
,387,37,28,26,Remission
165,110,21,22,7,Stable
240,136,48,25,39,Stable
111,307,47,36,45,Progressing
305,227,46,31,30,Stable
56,,45,37,0,Progressing
204,252,3,5,38,Progressing
141,80,3,7,33,Stable
63,338,29,16,46,Remission
278,129,1,11,23,Remission
135,60,28,21,27,Remission
182,466,42,,49,Progressing
232,303,35,33,3,Progressing
435,433,20,18,17,Stable
111,440,20,5,28,Progressing
268,433,47,17,22,Remission
454,336,20,35,36,Stable
295,225,3,36,26,Remission
279,175,0,37,15,Stable
128,,25,,44,Remission
198,,1,37,26,Stable
187,486,8,39,8,Remission
363,156,44,8,4,Progressing
425,324,17,5,7,Remission
472,,,1,,Stable
438,172,47,15,34,Remission
114,183,41,0,5,Progressing
62,156,40,,42,Stable
262,354,10,47,22,Progressing
291,,24,32,,Remission
262,,25,0,25,Stable
230,386,35,38,38,Remission
387,,,15,,Stable
222,317,34,16,9,Progressing
209,72,37,47,14,Progressing
213,103,2,47,37,Progressing
237,423,40,37,19,Remission
444,303,34,17,28,Stable
240,284,49,21,5,Progressing
454,108,39,21,47,Remission
357,213,,34,8,Remission
305,308,7,30,49,Stable
232,363,14,,4,Progressing
166,265,44,26,47,Remission
331,232,6,35,38,Progressing
245,106,18,3,18,Stable
83,194,39,48,4,Progressing
101,472,41,,,Progressing
161,139,16,24,10,Remission
301,,0,30,49,Remission
131,94,44,13,,Stable
281,306,28,29,28,Stable
276,70,12,46,6,Stable
282,70,47,11,49,Remission
,101,28,26,2,Stable
485,387,,44,4,Stable
462,,41,23,12,Remission
471,485,5,29,15,Stable
91,116,4,17,,Remission
70,,33,13,38,Stable
91,349,10,18,26,Remission
446,209,8,,,Progressing
162,315,37,25,32,Remission
154,369,39,6,14,Remission
241,281,40,27,20,Remission
66,374,8,37,43,Stable
169,117,7,4,16,Remission
442,77,,35,36,Remission
474,486,39,17,48,Stable
,165,2,,14,Progressing
179,100,12,47,19,Remission
109,230,18,22,18,Stable
97,,33,13,0,Progressing
78,,,31,3,Remission
146,322,48,4,2,Progressing
59,157,,21,7,Remission
291,123,35,27,40,Remission
363,224,17,42,43,Progressing
493,233,13,11,4,Progressing
281,72,29,,8,Progressing
326,323,1,35,,Remission
333,,12,30,42,Remission
252,340,26,,29,Stable
296,369,16,19,6,Stable
,235,,44,21,Stable
313,108,14,35,19,Remission
492,50,19,6,28,Progressing
263,180,4,22,26,Stable
249,,6,33,24,Remission
482,342,17,49,45,Progressing
128,334,10,,34,Stable
450,138,31,20,26,Progressing
493,466,,5,10,Progressing
392,149,26,15,16,Stable
393,238,25,34,,Stable
222,427,36,46,17,Remission
118,395,44,19,18,Progressing
465,437,27,41,49,Stable
477,290,49,40,,Stable
498,319,1,10,28,Progressing
136,268,19,31,14,Progressing
150,466,3,13,6,Progressing
57,455,12,23,36,Stable
382,225,23,,36,Stable
249,436,47,38,6,Remission
136,390,,,21,Progressing
92,282,,30,11,Stable
434,200,47,16,7,Stable
158,,44,24,17,Progressing
484,,28,8,27,Stable
457,220,35,21,17,Progressing
201,272,1,44,30,Stable
66,262,40,47,16,Progressing
182,331,17,,22,Progressing
197,90,48,36,10,Stable
326,171,7,16,14,Progressing
281,276,,27,29,Remission
363,343,40,,30,Remission
464,,16,,5,Progressing
415,,22,48,11,Remission
277,78,1,,22,Stable
,296,5,46,38,Stable
485,365,28,,39,Progressing
448,498,26,,35,Stable
260,293,36,30,34,Stable
,110,48,7,2,Remission
77,196,33,7,41,Stable
100,,17,,27,Stable
491,482,41,22,14,Remission
310,,9,9,12,Progressing
310,383,37,36,18,Progressing
399,418,43,47,39,Remission
401,,16,24,17,Remission
57,428,12,32,30,Stable
369,191,47,44,36,Stable
187,93,41,,20,Progressing
87,193,26,6,38,Progressing
160,402,1,32,4,Remission
417,382,33,1,16,Stable
,445,30,,18,Remission
386,104,22,45,3,Progressing
272,,6,31,25,Progressing
185,407,37,4,23,Remission
,472,32,,38,Stable
409,466,11,16,37,Stable
458,210,44,11,45,Remission
378,,11,11,18,Progressing
499,374,18,,29,Remission
483,,8,20,25,Remission
98,208,9,20,10,Stable
341,,16,1,38,Progressing
431,80,49,20,2,Progressing
373,161,39,14,21,Stable
,95,38,10,16,Progressing
154,402,,9,10,Progressing
218,254,9,17,46,Stable
266,101,11,22,38,Progressing
427,,14,,46,Progressing
168,123,30,25,26,Remission
239,90,14,1,48,Progressing
304,126,27,38,42,Remission
419,436,3,6,28,Remission
315,,35,23,11,Remission
198,419,0,38,12,Stable
213,101,43,31,10,Stable
189,467,33,25,30,Progressing
396,482,46,22,10,Remission
307,461,,13,40,Progressing
423,136,,28,42,Progressing
318,158,,24,,Progressing
230,446,43,30,1,Progressing
209,274,,1,22,Progressing
400,297,20,1,35,Remission
449,118,25,22,13,Remission
337,169,45,46,36,Remission
337,116,35,10,48,Remission
429,110,4,28,,Stable
275,493,32,,11,Remission
60,,0,34,28,Remission
59,457,5,48,5,Remission
320,,36,8,43,Stable
322,238,1,31,46,Progressing
473,200,4,29,22,Stable
451,,25,14,9,Remission
232,493,40,,33,Remission
202,451,46,16,43,Stable
364,145,12,21,11,Progressing
383,361,11,29,31,Stable
173,358,4,16,25,Stable
,312,1,15,6,Remission
327,146,3,7,31,Stable
,162,26,38,,Stable
262,174,,30,17,Stable
221,485,9,11,34,Stable
337,,12,32,19,Stable
484,467,43,11,30,Stable
223,466,1,24,4,Remission
162,,25,37,31,Remission
425,246,14,47,46,Remission
454,343,45,17,41,Remission
171,171,,18,18,Stable
81,331,21,2,0,Stable
271,434,39,34,6,Stable
168,309,24,4,21,Stable
88,88,14,34,49,Remission
317,103,,,33,Remission
282,210,7,36,9,Stable
480,338,,45,46,Stable
67,249,20,20,41,Stable
198,325,21,15,25,Stable
446,65,45,27,31,Progressing
198,454,32,24,41,Progressing
175,,44,32,26,Progressing
441,297,26,16,11,Progressing
351,432,39,42,39,Stable
,267,49,29,22,Stable
287,136,21,40,13,Stable
184,131,29,3,33,Progressing
200,111,8,1,16,Progressing
285,336,44,8,,Stable
273,91,34,30,26,Progressing
,61,17,24,7,Remission
305,,,36,,Progressing
135,283,,35,34,Progressing
199,378,26,4,46,Progressing
284,180,5,23,16,Progressing
394,164,31,23,25,Stable
71,,,28,6,Remission
,,,49,45,Stable
334,155,20,44,23,Progressing
318,228,17,30,24,Progressing
307,65,13,36,34,Progressing
78,291,14,,25,Progressing
262,383,41,22,49,Progressing
485,430,25,34,4,Remission
,436,,49,46,Stable
99,275,31,5,37,Progressing
144,291,38,5,34,Remission
456,457,,36,29,Stable
137,190,38,29,49,Stable
93,,42,0,24,Stable
327,248,31,7,23,Progressing
,161,12,27,29,Progressing
470,176,14,24,19,Remission
238,70,17,32,2,Remission
402,196,38,37,31,Stable
233,,5,13,7,Progressing
52,352,10,10,49,Stable
240,455,31,1,46,Stable
167,252,,29,22,Remission
68,466,19,29,45,Progressing
72,465,32,3,15,Remission
462,497,39,12,34,Progressing
79,134,7,6,24,Stable
344,,34,37,14,Stable
157,433,4,2,7,Stable
416,121,34,8,33,Progressing
330,,46,13,24,Stable
177,58,,10,48,Progressing
278,330,20,36,43,Progressing
160,307,46,13,18,Remission
,324,23,18,42,Stable
,287,16,7,49,Remission
235,69,17,6,12,Progressing
193,282,33,,45,Stable
121,270,11,2,11,Stable
178,375,15,2,14,Progressing
413,66,,17,22,Stable
,429,24,44,39,Progressing
,138,,32,1,Stable
498,245,27,36,39,Stable
437,,45,27,22,Progressing
153,133,10,35,4,Remission
273,436,12,15,33,Progressing
369,136,,14,9,Stable
411,,24,28,26,Progressing
403,387,38,17,41,Progressing
59,203,9,48,3,Progressing
454,,23,45,3,Stable
,277,,45,7,Remission
351,497,24,18,5,Remission
280,313,27,,24,Stable
,272,35,5,26,Remission
460,470,17,44,46,Progressing
115,170,5,49,49,Progressing
474,460,1,46,39,Remission
161,222,2,26,19,Remission
62,53,45,6,26,Remission
442,391,7,,,Progressing
469,177,30,18,22,Progressing
135,159,47,16,19,Stable
283,404,18,40,48,Stable
139,86,49,10,,Progressing
363,120,,4,28,Progressing
103,338,13,1,43,Stable
61,80,,46,4,Stable
258,488,47,11,26,Progressing
63,430,0,41,11,Remission
170,317,43,41,16,Progressing
467,60,29,10,36,Remission
486,393,45,9,33,Progressing
426,377,18,27,29,Stable
69,81,18,6,35,Stable
124,106,8,13,5,Stable
,,6,12,31,Progressing
,237,45,4,31,Progressing
272,391,36,41,8,Progressing
119,68,49,7,21,Remission
361,165,40,49,9,Progressing
260,233,6,0,28,Remission
,319,8,,10,Remission
235,,3,10,27,Remission
181,59,24,42,1,Stable
160,129,48,47,20,Remission
430,,11,9,30,Remission
,369,5,14,40,Stable
69,239,17,38,16,Remission
443,117,39,46,26,Progressing
73,397,20,28,29,Progressing
276,174,14,24,40,Stable
203,476,2,47,7,Stable
342,385,1,5,36,Remission
279,108,40,10,4,Remission
359,485,39,16,25,Remission
408,,3,14,5,Stable
454,,31,15,15,Remission
251,198,,1,0,Progressing
,327,45,35,8,Progressing
479,,28,18,20,Remission
,58,1,37,6,Stable
237,332,33,,42,Progressing
106,322,26,20,14,Stable
478,477,38,10,23,Progressing
69,350,43,40,,Remission
322,57,37,2,37,Remission
168,,17,33,28,Stable
120,451,35,17,,Remission
53,,18,14,45,Stable
270,172,26,24,10,Stable
63,82,44,49,3,Progressing
52,50,19,14,9,Progressing
265,253,20,29,33,Remission
,55,22,16,3,Stable
385,346,29,17,9,Progressing
235,488,24,30,32,Remission
104,54,,49,45,Remission
437,492,26,42,17,Progressing
425,129,33,17,11,Remission
303,323,7,34,22,Progressing
73,226,18,12,43,Stable
211,387,40,,24,Remission
207,370,25,35,36,Stable
131,388,27,17,3,Progressing
452,487,3,4,12,Stable
,494,30,13,17,Progressing
237,185,15,,,Remission
109,,9,43,43,Remission
452,,37,38,29,Remission
354,,47,11,47,Stable
368,232,,39,,Stable
415,217,44,,27,Stable
260,387,8,34,6,Progressing
455,227,,0,23,Remission
201,422,35,2,40,Stable
158,144,35,42,9,Progressing
125,82,18,49,36,Stable
79,160,18,6,26,Progressing
363,195,11,8,20,Remission
166,430,12,35,35,Stable
464,490,24,22,42,Remission
405,280,35,23,28,Stable
241,321,24,9,6,Progressing
,385,27,49,12,Remission
481,87,41,,44,Stable
222,,38,11,22,Stable
277,184,,18,49,Remission
,383,4,31,24,Progressing
232,284,16,23,40,Remission
162,486,17,21,44,Stable
232,,42,2,12,Remission
195,417,46,39,36,Remission
,394,20,26,29,Progressing
165,209,21,18,25,Progressing
162,87,38,8,11,Remission
300,199,49,48,0,Progressing
300,449,5,12,17,Progressing
352,357,49,1,20,Stable
362,78,15,,23,Progressing
167,,1,28,16,Remission
350,125,0,10,41,Remission
210,194,29,33,,Stable
450,278,42,3,39,Stable
247,,36,3,27,Stable
309,396,47,0,14,Remission
197,,22,24,12,Remission
289,318,0,25,27,Progressing
96,377,18,10,16,Stable
448,233,45,22,8,Progressing
247,310,2,1,20,Progressing
,317,1,18,29,Remission
127,218,36,28,10,Progressing
173,308,16,39,29,Stable
124,276,27,3,35,Stable
408,82,17,15,,Remission
186,426,32,,6,Remission
139,263,14,36,19,Remission
449,99,21,26,34,Stable
374,489,40,,9,Remission
110,442,26,14,34,Stable
187,259,36,22,0,Progressing
99,483,,48,13,Remission
308,,44,2,44,Remission
156,88,18,,4,Remission
162,396,27,42,39,Stable
399,149,27,25,43,Progressing
303,222,9,5,37,Remission
167,66,19,43,33,Progressing
247,105,24,16,23,Remission
386,275,20,45,3,Stable
414,95,13,37,26,Progressing
100,116,21,,4,Progressing
294,246,25,47,42,Remission
452,191,43,,12,Progressing
475,372,10,26,39,Stable
84,72,6,19,20,Progressing
,143,16,5,,Progressing
459,291,,34,,Progressing
118,,6,11,,Progressing
398,494,19,47,30,Remission
369,456,37,2,31,Remission
,460,10,47,14,Progressing
98,,43,3,47,Progressing
454,187,15,44,29,Stable
123,382,26,3,42,Remission
241,321,10,3,6,Remission
310,90,15,38,37,Remission
405,147,22,20,30,Progressing
119,232,11,43,43,Remission
,177,39,1,,Stable
309,278,2,15,35,Stable
175,366,,6,45,Stable
280,135,37,18,42,Stable
344,305,47,42,25,Stable
468,258,23,32,43,Remission
178,264,28,,1,Progressing
329,423,46,36,42,Progressing
